sample_id,thread_id,role,order_in_thread,policy,decision,short_reason,tone_score,debate_value_score
1,1,post,0,A,WARN_AND_ALLOW,"강한 비판이지만 특정 인물에 대한 직접적인 모욕이 아니며, 시스템이나 정책에 대한 비판으로 판단됨.",3,2
1,1,post,0,B,WARN_AND_ALLOW,"강한 표현이지만 특정 개인에 대한 직접적인 공격이 아니고, 시스템이나 상황에 대한 비판임.",3,2
1,1,post,0,C,ALLOW,"명확한 위협이나 혐오 표현이 없으며, 자유로운 비판 표현으로 판단됨.",3,2
2,1,comment,1,A,ALLOW,"단어 자체가 무례하거나 공격적이지 않고, 인신공격이나 혐오 표현이 없음.",2,1
2,1,comment,1,B,ALLOW,"비판적 표현이나 욕설이 없으며, 토론에 기여하는 내용은 적지만 무해함.",2,1
2,1,comment,1,C,ALLOW,표현의 자유 범위 내에서 무례하거나 혐오적이지 않은 단어임.,2,1
3,1,comment,2,A,ALLOW,The comment is neutral and polite with no insults or criticism.,1,1
3,1,comment,2,B,ALLOW,The comment contains no personal attacks or hate speech and does not contribute to debate.,1,1
3,1,comment,2,C,ALLOW,The comment is neutral and does not violate any rules regarding threats or hate speech.,1,1
4,2,post,0,A,ALLOW,"The comment is a neutral, factual statement without insults or offensive language.",1,2
4,2,post,0,B,ALLOW,"No personal attacks, hate speech, or threats; comment shares an experience relevant to a policy issue.",1,3
4,2,post,0,C,ALLOW,"The comment contains no threats, hate speech, or targeted insults and is allowed under minimal regulation.",1,3
5,2,comment,1,A,ALLOW,The comment is a neutral observation without insults or derogatory language.,2,2
5,2,comment,1,B,ALLOW,"The comment is a mild, neutral statement contributing to discussion without profanity or personal attack.",2,2
5,2,comment,1,C,ALLOW,"The comment is a neutral remark with no insults, threats, or hate speech.",2,2
6,2,comment,2,A,ALLOW,"The comment is neutral and does not contain insults, profanity, or targeted criticism.",1,1
6,2,comment,2,B,ALLOW,"The comment is neutral and does not contain personal attacks, hate speech, or threats.",1,1
6,2,comment,2,C,ALLOW,"The comment is neutral and does not violate any rules regarding insults, threats, or hate speech.",1,1
7,2,comment,3,A,ALLOW,"No direct insult, profanity, or hate speech detected; comment is a casual expression without targeting individuals.",2,2
7,2,comment,3,B,ALLOW,"Comment is a mild, informal expression without personal attacks or hate speech, contributing lightly to discussion.",2,2
7,2,comment,3,C,ALLOW,"No threats, hate speech, or targeted insults; casual and informal comment allowed under minimal regulation.",2,2
8,2,comment,4,A,ALLOW,"The comment is a casual question without insults, profanity, or targeted negativity.",2,2
8,2,comment,4,B,ALLOW,No personal attacks or hate speech; the comment is a mild inquiry related to academic work.,2,2
8,2,comment,4,C,ALLOW,"The comment contains no threats, hate speech, or severe insults and is allowed under free expression.",2,2
9,2,comment,5,A,ALLOW,The comment is a neutral metaphor without insult or derogatory tone toward a person or group.,2,3
9,2,comment,5,B,ALLOW,"The comment is a mild, neutral statement contributing to discussion without personal attack or profanity.",2,3
9,2,comment,5,C,ALLOW,"The comment is a non-hostile, non-threatening opinion and is allowed under minimal regulation.",2,3
10,2,comment,6,A,ALLOW,"The comment is a neutral, brief expression without insults or profanity, so it is allowed under high protection policy.",2,2
10,2,comment,6,B,ALLOW,"The comment is a mild criticism of assessment methods without personal attacks or profanity, so it is allowed.",2,3
10,2,comment,6,C,ALLOW,"The comment is a simple critical remark without threats or hate speech, so it is allowed under minimal regulation.",2,3
11,3,post,0,A,ALLOW,The comment is a neutral question without insults or offensive language.,1,2
11,3,post,0,B,ALLOW,The comment is a neutral inquiry and does not contain insults or hate speech.,1,2
11,3,post,0,C,ALLOW,The comment is a simple question without any offensive or threatening content.,1,2
12,3,comment,1,A,ALLOW,The comment is a neutral slang expression indicating curiosity without insult or profanity.,1,1
12,3,comment,1,B,ALLOW,"The comment is a neutral expression and does not contain insults, profanity, or hate speech.",1,1
12,3,comment,1,C,ALLOW,The comment is a casual slang phrase expressing curiosity without any offensive content.,1,1
13,3,comment,2,A,ALLOW,Polite and neutral comment without any insult or harsh language.,1,2
13,3,comment,2,B,ALLOW,Neutral comment that does not contain insults or hate speech and contributes minimally to discussion.,1,2
13,3,comment,2,C,ALLOW,"No insults, threats, or hate speech; simple neutral observation.",1,2
14,3,comment,3,A,ALLOW,"The comment is a brief, neutral expression without insults or profanity.",2,2
14,3,comment,3,B,ALLOW,The comment is neutral and does not contain personal attacks or hate speech.,2,2
14,3,comment,3,C,ALLOW,"The comment is a simple statement without threats, insults, or hate speech.",2,2
15,3,comment,4,A,ALLOW,The comment is a neutral statement without insults or offensive language.,1,2
15,3,comment,4,B,ALLOW,The comment is a factual or opinion statement without profanity or personal attack.,1,2
15,3,comment,4,C,ALLOW,"The comment contains no insults, threats, or hate speech and is allowed freely.",1,2
16,3,comment,5,A,ALLOW,The comment is neutral and polite without any insult or criticism.,1,1
16,3,comment,5,B,ALLOW,"The comment does not contain insults, hate speech, or threats and is neutral.",1,1
16,3,comment,5,C,ALLOW,The comment is neutral and does not violate any rules regarding insults or threats.,1,1
17,3,comment,6,A,ALLOW,The comment is a neutral factual statement without insults or offensive language.,1,2
