sample_id,thread_id,role,order_in_thread,policy,decision,short_reason,tone_score,debate_value_score
1,1,post,0,A,ALLOW,욕설이나 인신공격이 없고 단순한 비판·불만 표현으로 판단됨.,2,2
1,1,post,0,B,ALLOW,욕설·인신공격 없고 토론 가치가 낮지만 허용 기준에 부합함.,2,2
1,1,post,0,C,ALLOW,위협·신상털이·혐오가 없고 단순한 불만 표현으로 자유롭게 허용함.,2,2
2,1,comment,1,A,ALLOW,욕설·비속어가 없고 인신공격도 없는 단순한 의문 표현으로 비판·불만이 아님.,1,1
2,1,comment,1,B,ALLOW,욕설·인신공격이 없고 토론 가치가 낮은 단순 의문 표현이지만 허용됨.,1,1
2,1,comment,1,C,ALLOW,위협·신상털이·혐오가 없고 단순한 의문 표현으로 자유롭게 허용됨.,1,1
3,1,comment,2,A,ALLOW,욕설이나 인신공격이 없고 단순한 의문 표현으로 비판이나 혐오가 아님.,1,1
3,1,comment,2,B,ALLOW,"명확한 인신공격이나 혐오가 없으며, 단순한 질문 형태로 토론 가치가 낮음에도 허용됨.",1,1
3,1,comment,2,C,ALLOW,위협·신상털이·혐오가 전혀 없고 단순한 의문 표현으로 자유롭게 허용됨.,1,1
4,2,post,0,A,ALLOW,욕설·비속어가 없고 단순 정보 공유 및 질문으로 비판이나 인신공격이 아님.,1,2
4,2,post,0,B,ALLOW,욕설·인신공격 없고 정보 공유 및 질문으로 토론 가치가 있음.,1,2
4,2,post,0,C,ALLOW,위협·신상털이·혐오가 없고 단순 정보 공유 및 질문임.,1,2
5,2,comment,1,A,ALLOW,욕설이나 인신공격이 없고 단순한 의견 표현으로 비판·불만에 해당하지 않음.,1,2
5,2,comment,1,B,ALLOW,"욕설·인신공격이 없으며, 단순 의견 표현으로 토론 가치가 낮지만 허용됨.",1,2
5,2,comment,1,C,ALLOW,"위협·신상털이·혐오가 없고, 일반적인 의견 표현에 해당함.",1,2
6,2,comment,2,A,ALLOW,욕설·비속어가 없고 단순한 의견 표현으로 비판이나 인신공격이 아님.,1,1
6,2,comment,2,B,ALLOW,욕설·인신공격이 없고 토론 가치가 낮지만 허용 기준에 해당함.,1,1
6,2,comment,2,C,ALLOW,위협·신상털이·혐오가 없고 단순한 의견 표현임.,1,1
7,2,comment,3,A,ALLOW,"욕설·비속어가 없고, 특정인·집단에 대한 인신공격이나 혐오가 없으며 단순한 의견 표현임.",1,2
7,2,comment,3,B,ALLOW,"욕설·인신공격·혐오가 없고, 토론 가치가 낮지만 허용 가능한 가벼운 의견임.",1,2
7,2,comment,3,C,ALLOW,"위협·신상털이·집단혐오가 없고, 자유로운 표현 범위 내의 의견임.",1,2
8,2,comment,4,A,ALLOW,욕설·비속어가 없고 단순한 질문 형태의 의견으로 비판이나 인신공격이 아님.,1,2
8,2,comment,4,B,ALLOW,욕설·인신공격이 없고 단순한 의문 제기로 토론 가치가 있으므로 허용.,1,2
8,2,comment,4,C,ALLOW,위협·신상털이·혐오가 없고 단순한 질문이므로 표현의 자유 차원에서 허용.,1,2
9,2,comment,5,A,ALLOW,"욕설이나 인신공격이 없고, AI에 대한 중립적 비판으로 간주됨.",1,3
