sample_id,A,B,C,thread_id,role,order_in_thread,text
1,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,1,post,0,얼마나 인기없으면 글이 안올라오냐
21,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,4,comment,2,괘씸해서 안받아주지 어짜피 초과학기인데 그냥 다음학기에 들어
26,BLOCK,WARN_AND_ALLOW,ALLOW,5,post,0,전전 3.6졸이면 ㅁㅌㅊ임? 전공 성적은 3.9 넘고 기초랑 교양에서 많이 까먹긴함
30,BLOCK,BLOCK,WARN_AND_ALLOW,5,comment,4,4.1졸이면 ㅁㅌㅊ임?
79,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,10,comment,7,공군은 그냥 공익아님?
80,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,10,comment,8,헌급방은 빡셈
81,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,10,comment,9,빡세도 육군보다는 나음
83,WARN_AND_ALLOW,ALLOW,ALLOW,10,comment,11,남자답게 해병대에 입대하자
85,BLOCK,BLOCK,WARN_AND_ALLOW,10,comment,13,공군은 사회적으로 나는 폐급이란걸 인정하는거임
86,BLOCK,WARN_AND_ALLOW,ALLOW,10,comment,14,라고 사회생활 안해본애가 얘기하는중 ㅋ
87,BLOCK,WARN_AND_ALLOW,ALLOW,10,comment,15,"친한 애들은 편하다고 존나 부러워하고, 육군 해병대 애들은 3개월 도르 물고 늘어지면서 합리화만 ㅈㄴ하고, 한 30대 후반분들부터는 존나 엘리튼줄 알던데 ㅋㅋ"
88,BLOCK,WARN_AND_ALLOW,ALLOW,11,post,0,올해 수능친사람 ㅈㄱㄴ
90,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,11,comment,2,나머지 높2만받아도 한의대급이네 개부럽노
104,BLOCK,WARN_AND_ALLOW,WARN_AND_ALLOW,12,comment,5,쓰레기 관리직 또는 잡돌이 직무들은 어느회사든 안에서 갈갈갈 돌아가서 비교불가
109,BLOCK,WARN_AND_ALLOW,ALLOW,13,comment,1,지랄? 20대에 이정도 스펙이 가능한거임?
118,BLOCK,BLOCK,WARN_AND_ALLOW,13,comment,10,이 사람들의 주사를 아는 사람: ☠️☠️☠️
120,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,13,comment,12,몇 조냐
126,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,14,post,0,유냥이 목에 진드기 있어서 뗐어요 목에 피 묻어있어도 놀라지마세요 졸라 크더라구요 개징그러워요
140,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,16,comment,2,ㅈ같다
147,BLOCK,WARN_AND_ALLOW,WARN_AND_ALLOW,16,comment,9,개씨발
148,BLOCK,WARN_AND_ALLOW,WARN_AND_ALLOW,16,comment,10,아시이이발
150,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,17,post,0,제발 새벽에 걸을 때는 쿵쿵 걷지 말고 살살 걸으려는 노력이라도 해라.. 지 안방 마냥 새벽 늦은 시간까지 쿵쿵거리는데 자다가 깰 정도로 시끄럽다 하 진짜... 그것도 2학기 내내 혹시 코뿔소 만큼의 무게를 가진 것 임? 한 번 더 그러면 벌점 신고 넣을게~
156,BLOCK,WARN_AND_ALLOW,ALLOW,17,comment,6,"그건 전형적인 발망치 소리임. 아파트같이 맨발로 걸어다니는 실내에서는 발 앞꿈치가 먼저 닿게 걸으면(마치 우리가 편하게 제자리걸음을 할 때 처럼) 무게가 많이 나가는 사람조차 작은 사브작사브작 소리가 남. 하지만 그런 중요한 가정교육을 못 받은 애들은 발뒤꿈치가 먼저 닿게 걷는 게 일상이 되므로(마치 우리가 야외에서 신발 신고 편하게 걷는 듯이), 걔들이 아파트에서 걸을 때 마다 아래층에서는 공간이 울리는 소리(i.e. 발망치 소리)가 나는 거임ㅋ. 제일 큰 문제는 평생동안 그렇게 걸어온 애들은 그 발망치 소리가 거슬리는 소리라고 인지하지 못한다는 거임. 심지어 그냥 '발망치 소리의 존재'조차 인지하지 못하는 경우도 허다하고.... 나도 이런 걸로 피해자가 되어본 적이 있어서, 아무튼 힘내라"
159,BLOCK,WARN_AND_ALLOW,WARN_AND_ALLOW,17,comment,9,슬리퍼 신고 좆같이 끌고 걷지마라
166,BLOCK,BLOCK,WARN_AND_ALLOW,18,comment,6,기공 93.7%가 그렇게 전공고름
