sample_id,thread_id,role,order_in_thread,policy,decision,short_reason,tone_score,debate_value_score
1,1,post,0,A,BLOCK,"The comment implies inappropriate and invasive behavior, which can be seen as shaming or harassment related to personal boundaries and privacy, violating the policy's protection of emotional safety.",4,1
1,1,post,0,B,BLOCK,"The comment describes inappropriate behavior that can be considered harassment, which is not allowed under the ban on personal attacks or harmful conduct.",4,1
1,1,post,0,C,BLOCK,"The comment depicts invasive and inappropriate behavior that can be harmful and threatening to personal dignity, meeting the threshold for blocking under severe hostility or harm.",4,1
2,1,comment,1,A,ALLOW,"The comment is a neutral question without insult or derogatory language, so it is allowed under high protection policy.",2,2
2,1,comment,1,B,ALLOW,"The comment is a neutral inquiry without personal attack or profanity, contributing minimally to discussion.",2,2
2,1,comment,1,C,ALLOW,"The comment contains no insults, threats, or hate speech and is allowed under minimal regulation policy.",2,2
3,1,comment,2,A,BLOCK,"The term '게이게이야' is a derogatory expression targeting sexual orientation, which counts as hate speech toward a social group under Policy A.",3,1
3,1,comment,2,B,BLOCK,"This comment contains hate speech toward a protected group (sexuality), which is explicitly blocked under Policy B.",3,1
3,1,comment,2,C,BLOCK,"The comment uses a derogatory slur targeting a protected group, which is blocked under Policy C.",3,1
4,2,post,0,A,BLOCK,외모를 비하하고 특정 집단을 일반화하여 조롱하는 표현이 포함되어 있어 매너 최우선 정책에 따라 차단함.,4,1
4,2,post,0,B,BLOCK,특정 집단(코스프레하는 사람들)의 외모를 비하하는 표현이 개인 공격에 준하는 수준으로 판단되어 차단함.,4,1
4,2,post,0,C,WARN_AND_ALLOW,외모 비하와 조롱이 있으나 명백한 위협이나 혐오 표현은 아니므로 경고 후 허용함.,4,1
5,2,comment,1,A,ALLOW,Polite or neutral comment without insult or criticism.,1,1
5,2,comment,1,B,ALLOW,Neutral comment with no personal attack or hate speech.,1,1
5,2,comment,1,C,ALLOW,"No insults, threats, or hate speech present.",1,1
6,2,comment,2,A,ALLOW,The comment is neutral and polite without any insult or criticism.,1,1
6,2,comment,2,B,ALLOW,No personal attack or hate speech; the comment is neutral and adds no argument.,1,1
6,2,comment,2,C,ALLOW,"The comment contains no insults, threats, or hate speech and is neutral.",1,1
7,2,comment,3,A,ALLOW,"The comment is a neutral, somewhat dismissive expression without direct insult or profanity.",3,1
7,2,comment,3,B,ALLOW,"No personal attack, profanity, or hate speech; the comment is brief and neutral.",3,1
7,2,comment,3,C,ALLOW,"The comment contains no threats, hate speech, or targeted insults, so it is allowed.",3,1
8,3,post,0,A,ALLOW,"댓글에 욕설이나 인신공격이 없고, 감정 표현과 긍정적 의견이 포함되어 있어 매너를 해치지 않음.",2,1
8,3,post,0,B,ALLOW,"욕설이나 인신공격이 없으며, 긍정적 감정 표현으로 토론 가치가 낮지만 허용됨.",2,1
8,3,post,0,C,ALLOW,표현의 자유 범위 내에서 욕설이나 혐오 표현이 없으므로 허용됨.,2,1
9,3,comment,1,A,ALLOW,"Neutral, short expression without insult or rudeness; no violation of high protection rules.",2,1
9,3,comment,1,B,ALLOW,No personal attack or hate speech; neutral comment with minimal debate value.,2,1
9,3,comment,1,C,ALLOW,"No threats, hate speech, or targeted insults; allowed under minimal regulation policy.",2,1
10,3,comment,2,A,ALLOW,"No direct insult, profanity, or hate speech detected; the comment is neutral and does not target a person or group.",1,1
10,3,comment,2,B,ALLOW,"The comment is neutral and does not contain insults, hate speech, or threats; it does not hinder debate.",1,1
10,3,comment,2,C,ALLOW,"The comment is neutral and free of insults, threats, or hate speech, so it is allowed under minimal regulation.",1,1
11,3,comment,3,A,ALLOW,Polite and neutral comment without any insult or criticism.,1,1
11,3,comment,3,B,ALLOW,No personal attack or hate speech; comment is neutral and polite.,1,1
11,3,comment,3,C,ALLOW,Comment is polite and contains no threats or hate speech.,1,1
12,3,comment,4,A,ALLOW,단순한 질문으로 무례하거나 공격적인 표현이 없으므로 허용.,1,1
12,3,comment,4,B,ALLOW,공격성이나 혐오 표현이 없고 단순 질문이므로 허용.,1,1
12,3,comment,4,C,ALLOW,표현의 자유 범위 내의 단순 질문으로 차단 사유 없음.,1,1
13,3,comment,5,A,ALLOW,"The comment is neutral and does not contain insults, profanity, or hate speech.",1,1
13,3,comment,5,B,ALLOW,The comment is neutral and does not contain personal attacks or hate speech.,1,1
13,3,comment,5,C,ALLOW,The comment is neutral and does not violate any rules regarding threats or hate speech.,1,1
14,4,post,0,A,BLOCK,Contains direct insult '심각하게 멍청한건가' which is a derogatory expression toward a person.,4,3
14,4,post,0,B,WARN_AND_ALLOW,"Harsh expression '심각하게 멍청한건가' targets a general group, not a specific individual, so it is allowed with warning.",4,3
14,4,post,0,C,ALLOW,"Although rude, the insult is not a severe personal attack or hate speech, so it is allowed under freedom of expression.",4,3
15,4,comment,1,A,ALLOW,Polite expression of personal dislike without insults or derogatory language.,2,3
15,4,comment,1,B,ALLOW,Criticism expressed respectfully and contributes to discussion about assignments.,2,3
15,4,comment,1,C,ALLOW,"Mild personal opinion with no insults, threats, or hate speech.",2,3
16,4,comment,2,A,ALLOW,"The comment is a light, humorous expression without insults or hate speech, so it is allowed under high protection policy.",2,2
16,4,comment,2,B,ALLOW,"The comment is a mild joke about assignments and does not contain insults or hate speech, so it is allowed.",2,2
16,4,comment,2,C,ALLOW,"The comment is a casual, humorous remark without any threats or hate speech, so it is allowed under minimal regulation.",2,2
17,4,comment,3,A,BLOCK,Contains the derogatory term '년차' which is considered a direct insult or derogatory expression toward a person or group.,3,3
17,4,comment,3,B,ALLOW,"'년차' is used as a neutral term indicating experience level, not a direct personal attack; comment provides constructive advice.",2,4
17,4,comment,3,C,ALLOW,"No explicit threats, hate speech, or severe insults; comment is a mild critique with advice.",2,4
18,4,comment,4,A,ALLOW,"The comment contains self-criticism but no direct insult or derogatory expression toward others, so it is allowed under high protection policy.",2,3
18,4,comment,4,B,ALLOW,Self-directed negative expression is not a personal attack on others and the comment contributes to sharing personal experience.,2,3
18,4,comment,4,C,ALLOW,"The comment is a personal reflection with no threats, hate speech, or targeted insults, so it is allowed under minimal regulation.",2,3
19,4,comment,5,A,ALLOW,Polite and encouraging comment without insults or negative tone.,1,2
